Data;Stawka;Obrót
2007-05-21;0,0427;5171
2007-05-22;0,0426;3250
2007-05-23;0,0426;8518
2007-05-24;0,0424;6670
2007-05-25;0,0424;7652
2007-05-28;0,0428;5441
2007-05-29;0,0415;6550
2007-05-30;0,0339;6189
2007-05-31;0,0428;6990
2007-06-01;0,0428;6569
2007-06-04;0,0426;4790
2007-06-05;0,0423;6280
2007-06-06;0,0424;7531
2007-06-08;0,0428;9829
2007-06-11;0,0426;3895
2007-06-12;0,0423;4605
2007-06-13;0,0421;6712
2007-06-14;0,0421;5223
2007-06-15;0,0426;5770
2007-06-18;0,0424;4873
2007-06-19;0,0425;5653
2007-06-20;0,0425;6683
2007-06-21;0,0426;7374
2007-06-22;0,0427;5058
2007-06-25;0,0426;5195
2007-06-26;0,0429;3053
2007-06-27;0,0435;3258
2007-06-28;0,0459;5820
2007-06-29;0,0475;5386
2007-07-02;0,0457;6157
2007-07-03;0,0456;4351
2007-07-04;0,0456;5825
2007-07-05;0,0454;7129
2007-07-06;0,0455;4664
2007-07-09;0,0456;6445
2007-07-10;0,0455;7735
2007-07-11;0,0454;6656
2007-07-12;0,0454;7252
2007-07-13;0,0455;6232
2007-07-16;0,0456;2600
2007-07-17;0,0458;4150
2007-07-18;0,046;2347
2007-07-19;0,0459;2772
2007-07-20;0,0459;4701
2007-07-23;0,046;5578
2007-07-24;0,0461;4953
2007-07-25;0,0456;7643
2007-07-26;0,0454;6240
2007-07-27;0,0356;8765
2007-07-30;0,0295;3450
2007-07-31;0,0447;3335
2007-08-01;0,0446;6427
2007-08-02;0,0448;5063
2007-08-03;0,0452;3061
2007-08-06;0,0454;4372
2007-08-07;0,0454;2229
2007-08-08;0,0453;4373,5
2007-08-09;0,0452;5455
2007-08-10;0,0451;7020
2007-08-13;0,0449;5127
2007-08-14;0,0452;6550
2007-08-16;0,0451;4955
2007-08-17;0,0453;6823
2007-08-20;0,0454;5890
2007-08-21;0,0452;6515
2007-08-22;0,0445;8220
2007-08-23;0,0426;8406
2007-08-24;0,0436;7141
2007-08-27;0,0435;7360
2007-08-28;0,0392;10071
2007-08-29;0,0347;7860
2007-08-30;0,0342;5654
2007-08-31;0,0483;4428
2007-09-03;0,048;5111
2007-09-04;0,0481;5380
2007-09-05;0,048;6752
2007-09-06;0,0479;7034
2007-09-07;0,048;4510
2007-09-10;0,0482;6521
2007-09-11;0,0483;3770
2007-09-12;0,0483;5649
2007-09-13;0,0484;5673
2007-09-14;0,0476;5877
2007-09-17;0,047;5060
2007-09-18;0,0469;4010
2007-09-19;0,0467;3484
2007-09-20;0,0462;6707
2007-09-21;0,0463;5765
2007-09-24;0,042;8515
2007-09-25;0,0366;8346
2007-09-26;0,0336;8298
2007-09-27;0,0351;4927
2007-09-28;0,0403;5316
2007-10-01;0,048;5636
2007-10-02;0,0479;6564
2007-10-03;0,048;6181
2007-10-04;0,0481;3377
2007-10-05;0,048;5365
2007-10-08;0,048;6623
2007-10-09;0,0479;5724
2007-10-10;0,0478;4393
2007-10-11;0,0481;3730
2007-10-12;0,0479;4611
2007-10-15;0,0479;2971
2007-10-16;0,0483;4905
2007-10-17;0,0484;1928
2007-10-18;0,0483;4940
2007-10-19;0,0483;3258
2007-10-22;0,048;6484
2007-10-23;0,0481;6571,3
2007-10-24;0,0481;4530
2007-10-25;0,047;11470
2007-10-26;0,0501;3865
2007-10-29;0,0595;4778
2007-10-30;0,0611;3269
2007-10-31;0,0487;3365
2007-11-02;0,0481;3487
2007-11-05;0,0477;4965
2007-11-06;0,0476;6202
2007-11-07;0,0474;7260
2007-11-08;0,0474;5726
2007-11-09;0,0478;3508
2007-11-12;0,048;4591
2007-11-13;0,0479;5080
2007-11-14;0,0482;3710
2007-11-15;0,0484;5302
2007-11-16;0,0482;4649
2007-11-19;0,0482;5700
2007-11-20;0,0482;3955
2007-11-21;0,0481;3955
2007-11-22;0,0482;5060
2007-11-23;0,0505;6845
2007-11-26;0,0507;3987
2007-11-27;0,059;2864
2007-11-28;0,0496;6260
2007-11-29;0,0555;6644
2007-11-30;0,0477;10234
2007-12-03;0,0468;9214
2007-12-04;0,0461;10160
2007-12-05;0,0441;9887
2007-12-06;0,0434;12147
2007-12-07;0,0397;8620
2007-12-10;0,0362;6691
2007-12-11;0,0364;4365
2007-12-12;0,0373;5844
2007-12-13;0,039;4450
2007-12-14;0,0379;4214
2007-12-17;0,0377;4985
2007-12-18;0,0392;6155,2035
2007-12-19;0,0409;5536
2007-12-20;0,0393;8605
2007-12-21;0,0427;2370
2007-12-24;0,04;3434
2007-12-27;0,0362;7615
2007-12-28;0,0376;7475
2007-12-31;0,0647;1462
2008-01-02;0,0512;5130
2008-01-03;0,0508;4915
2008-01-04;0,0515;2503
2008-01-07;0,0513;4635
2008-01-08;0,0512;5410
2008-01-09;0,0508;5614
2008-01-10;0,0509;4215
2008-01-11;0,0504;5757
2008-01-14;0,0501;3523
2008-01-15;0,0497;3996
2008-01-16;0,05;4219
2008-01-17;0,0502;4013
2008-01-18;0,0504;4485
2008-01-21;0,0508;2440
2008-01-22;0,0507;2880
2008-01-23;0,0504;2640
2008-01-24;0,0508;3118
2008-01-25;0,0491;3735
2008-01-28;0,0497;4683
2008-01-29;0,0478;4172
2008-01-30;0,0395;5557
2008-01-31;0,0525;2556
2008-02-01;0,0528;4052
2008-02-04;0,0532;5509
2008-02-05;0,0535;6787
2008-02-06;0,0527;4973
2008-02-07;0,0533;3270
2008-02-08;0,0528;6760
2008-02-11;0,0526;7981
2008-02-12;0,053;5054
2008-02-13;0,0529;4455
2008-02-14;0,0532;5558
2008-02-15;0,053;4890
2008-02-18;0,0529;5537
2008-02-19;0,053;5230
2008-02-20;0,053;5667
2008-02-21;0,0532;6631
2008-02-22;0,0531;4162
2008-02-25;0,0532;3705
2008-02-26;0,0561;5925
2008-02-27;0,0506;4175
